,precision,recall,f1-score
acetaminophen,0.45,0.45,0.45
acetic_acid,0.8108108108108109,0.75,0.7792207792207793
acetone,0.6829268292682927,0.7,0.691358024691358
alanine,0.4666666666666667,0.525,0.49411764705882355
ammonium_chloride,0.35555555555555557,0.4,0.3764705882352941
ammonium_sulfate,0.25,0.15,0.1875
arabinose,0.28846153846153844,0.375,0.32608695652173914
arginine,0.675,0.675,0.675
ascorbic_acid,0.875,0.875,0.875
aspartic_acid,0.43137254901960786,0.55,0.4835164835164835
aspirin,0.6756756756756757,0.625,0.6493506493506493
benzoic_acid,0.6976744186046512,0.75,0.7228915662650602
butanol,0.782608695652174,0.9,0.8372093023255814
cadmium_II,0.813953488372093,0.875,0.8433734939759037
caffeine,0.9487179487179487,0.925,0.9367088607594937
calcium_chloride,0.6136363636363636,0.675,0.6428571428571429
calcium_nitrate,0.358974358974359,0.35,0.35443037974683544
catechol,0.7674418604651163,0.825,0.7951807228915663
citric_acid,0.7317073170731707,0.75,0.7407407407407407
citric_sodium,0.7297297297297297,0.675,0.7012987012987013
cobalt_II,0.9428571428571428,0.825,0.88
copper_II,1.0,0.95,0.9743589743589743
creatinine,0.4146341463414634,0.425,0.41975308641975306
cysteine,0.8863636363636364,0.975,0.9285714285714286
dopamine,0.5869565217391305,0.675,0.627906976744186
ethanol,0.6129032258064516,0.475,0.5352112676056338
ethylene_glycol,0.7804878048780488,0.8,0.7901234567901234
formaldehyde,0.8095238095238095,0.85,0.8292682926829268
fructose,0.23255813953488372,0.25,0.24096385542168675
fumaric_acid,0.45,0.45,0.45
galactose,0.35,0.35,0.35
glucose,0.7872340425531915,0.925,0.8505747126436781
glutamic_acid,0.39473684210526316,0.375,0.38461538461538464
glycerol,0.6744186046511628,0.725,0.6987951807228916
glycine,0.3333333333333333,0.375,0.35294117647058826
hydrogen_peroxide,1.0,0.875,0.9333333333333333
hydroquinone,0.825,0.825,0.825
ibuprofen,0.8717948717948718,0.85,0.8607594936708861
iron_II,0.9743589743589743,0.95,0.9620253164556962
iron_III,0.95,0.95,0.95
isoleucine,0.47619047619047616,0.5,0.4878048780487805
isopropanol,0.6666666666666666,0.6,0.631578947368421
lactic_acid,0.575,0.575,0.575
lactose,0.23076923076923078,0.225,0.22784810126582278
lead_II,0.8055555555555556,0.725,0.7631578947368421
leucine,0.4722222222222222,0.425,0.4473684210526316
lysine,0.5588235294117647,0.475,0.5135135135135135
magnesium_chloride,0.35555555555555557,0.4,0.3764705882352941
malic_acid,0.23529411764705882,0.2,0.21621621621621623
maltose,0.23076923076923078,0.15,0.18181818181818182
manganese_II,1.0,1.0,1.0
mannose,0.32432432432432434,0.3,0.3116883116883117
methanol,0.6744186046511628,0.725,0.6987951807228916
methionine,0.6923076923076923,0.675,0.6835443037974683
monosodium_glutamate,0.7777777777777778,0.7,0.7368421052631579
nickel_II,0.918918918918919,0.85,0.8831168831168831
oxalic_acid,0.7894736842105263,0.75,0.7692307692307693
paracetamol,0.4722222222222222,0.425,0.4473684210526316
phenol,0.6326530612244898,0.775,0.6966292134831461
phenylalanine,0.5277777777777778,0.475,0.5
potassium_bicarbonate,0.3333333333333333,0.3,0.3157894736842105
potassium_carbonate,0.7857142857142857,0.825,0.8048780487804879
potassium_chloride,0.7647058823529411,0.65,0.7027027027027027
potassium_dichromate,0.95,0.95,0.95
potassium_iodide,0.717948717948718,0.7,0.7088607594936709
potassium_nitrate,0.30952380952380953,0.325,0.3170731707317073
potassium_permanganate,0.95,0.95,0.95
potassium_sorbate,0.55,0.55,0.55
potassium_sulfate,0.4,0.35,0.37333333333333335
propanol,0.425531914893617,0.5,0.45977011494252873
propylene_glycol,0.8,0.8,0.8
pyrogallol,0.7142857142857143,0.625,0.6666666666666666
resorcinol,0.7619047619047619,0.8,0.7804878048780488
ribose,0.275,0.275,0.275
serine,0.20588235294117646,0.175,0.1891891891891892
silver_I,0.9523809523809523,1.0,0.975609756097561
sodium_benzoate,0.4583333333333333,0.55,0.5
sodium_bicarbonate,0.2222222222222222,0.25,0.23529411764705882
sodium_carbonate,0.7948717948717948,0.775,0.7848101265822784
sodium_chloride,0.8043478260869565,0.925,0.8604651162790697
sodium_hypochlorite,0.975,0.975,0.975
sodium_iodide,0.7222222222222222,0.65,0.6842105263157895
sodium_metabisulfite,0.5106382978723404,0.6,0.5517241379310345
sodium_nitrate,0.3404255319148936,0.4,0.367816091954023
sodium_nitrite,0.7777777777777778,0.875,0.8235294117647058
sodium_sulfate,0.32432432432432434,0.3,0.3116883116883117
sodium_sulfite,0.53125,0.425,0.4722222222222222
sodium_thiosulfate,0.47368421052631576,0.45,0.46153846153846156
sorbic_acid,0.5428571428571428,0.475,0.5066666666666667
succinic_acid,0.4,0.45,0.4235294117647059
sucrose,0.5789473684210527,0.55,0.5641025641025641
tartaric_acid,0.4594594594594595,0.425,0.44155844155844154
threonine,0.3076923076923077,0.3,0.3037974683544304
tryptophan,0.7297297297297297,0.675,0.7012987012987013
tyrosine,0.8,0.8,0.8
urea,0.8292682926829268,0.85,0.8395061728395061
uric_acid,0.7954545454545454,0.875,0.8333333333333334
valine,0.2558139534883721,0.275,0.26506024096385544
xylose,0.23684210526315788,0.225,0.23076923076923078
zinc_II,0.9047619047619048,0.95,0.926829268292683
