,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
meanCurrent,1.0,0.8496722028596216,0.8134217144172395,-0.2874358512182812,,,-0.3118150577004036,0.841582770451811,-0.8184409948570358,0.8134217144172395,0.1190354082395847,0.23777572604249744,0.9611496057545154,0.8068229072460381,-0.05891756136988984
stdCurrent,0.8496722028596216,1.0,0.995814308680926,-0.7395702768170994,,,-0.3536617898760063,0.975651182378539,-0.9499980232249077,0.995814308680926,-0.06741943657084597,-0.09838452597264642,0.9558166536541615,0.9948828561049214,0.029769343651246716
maxCurrent,0.8134217144172395,0.995814308680926,1.0,-0.768180382687278,,,-0.3401529158784741,0.9692343208652915,-0.9404908709292402,1.0,-0.06337901514220912,-0.15257069553685548,0.9307449594084095,0.9999310591232838,0.045285925562665884
minCurrent,-0.2874358512182812,-0.7395702768170994,-0.768180382687278,1.0,,,0.2635006126334628,-0.7083937578597722,0.6968288649152674,-0.768180382687278,0.27354030879106395,0.4190416912834876,-0.5282721977132204,-0.773954176242499,-0.10696795662392508
meanVoltage,,,,,,,,,,,,,,,
voltageRange,,,,,,,,,,,,,,,
meanGradient,-0.3118150577004036,-0.3536617898760063,-0.3401529158784741,0.2635006126334628,,,1.0,-0.30461152126698987,0.5711545620355777,-0.3401529158784741,0.13753687273011586,-0.019669916913978545,-0.3621958851067919,-0.3388774587871058,-0.00979967008675762
maxGradient,0.841582770451811,0.975651182378539,0.9692343208652915,-0.7083937578597722,,,-0.30461152126698987,1.0,-0.9195937691050341,0.9692343208652914,-0.05748764199329628,-0.0811582377302979,0.9380346319853836,0.9679114480526587,0.030130305888931595
minGradient,-0.8184409948570358,-0.9499980232249077,-0.9404908709292402,0.6968288649152674,,,0.5711545620355777,-0.9195937691050341,1.0,-0.9404908709292402,0.10608104938660105,0.06089916592373227,-0.9226707551743194,-0.9390635900893359,-0.025722400815953856
peakCurrent,0.8134217144172395,0.995814308680926,1.0,-0.768180382687278,,,-0.3401529158784741,0.9692343208652914,-0.9404908709292402,1.0,-0.06337901514220912,-0.15257069553685548,0.9307449594084095,0.9999310591232838,0.045285925562665884
peakPotential,0.1190354082395847,-0.06741943657084597,-0.06337901514220912,0.27354030879106395,,,0.13753687273011586,-0.05748764199329628,0.10608104938660105,-0.06337901514220912,1.0,0.3468926719637066,-0.0011564376224388183,-0.06684198780033078,-0.10352332594862486
peakWidth,0.23777572604249744,-0.09838452597264642,-0.15257069553685548,0.4190416912834876,,,-0.019669916913978545,-0.0811582377302979,0.06089916592373227,-0.15257069553685548,0.3468926719637066,1.0,0.09412807298065763,-0.1602072299711551,-0.2762335616471751
peakArea,0.9611496057545154,0.9558166536541615,0.9307449594084095,-0.5282721977132204,,,-0.3621958851067919,0.9380346319853836,-0.9226707551743194,0.9307449594084095,-0.0011564376224388183,0.09412807298065763,1.0,0.9266723711067782,-0.019369958323608043
peakProminence,0.8068229072460381,0.9948828561049214,0.9999310591232838,-0.773954176242499,,,-0.3388774587871058,0.9679114480526587,-0.9390635900893359,0.9999310591232838,-0.06684198780033078,-0.1602072299711551,0.9266723711067782,1.0,0.04731682150957944
peakSymmetry,-0.05891756136988984,0.029769343651246716,0.045285925562665884,-0.10696795662392508,,,-0.00979967008675762,0.030130305888931595,-0.025722400815953856,0.045285925562665884,-0.10352332594862486,-0.2762335616471751,-0.019369958323608043,0.04731682150957944,1.0
