,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
meanCurrent,1.0,0.9769416947368618,0.9186766853638428,-0.9668574879647504,,,-0.13587365575446994,0.8505224345975787,-0.8566893283754221,0.9186766853638428,0.013177051226546296,0.12178869183745956,0.9993554964501701,0.9169721993717608,-0.03302600197037584
stdCurrent,0.9769416947368618,1.0,0.9813633801510653,-0.9841181499602649,,,-0.14459362425483796,0.9370356777053901,-0.9321246536251491,0.9813633801510653,-0.03281615274561325,-0.02302924824294854,0.975268183272378,0.9805639844759005,0.002921217919426649
maxCurrent,0.9186766853638428,0.9813633801510653,1.0,-0.9607548795522695,,,-0.14494571641284165,0.9806260525186384,-0.967115869599424,1.0,-0.061989165885629874,-0.14749597754342048,0.9154354135464279,0.9999878011500921,0.03367242284467662
minCurrent,-0.9668574879647504,-0.9841181499602649,-0.9607548795522695,1.0,,,0.11288673583736421,-0.9136578875262085,0.9111083365374556,-0.9607548795522695,0.052273774729073325,0.004910635600503552,-0.9655893028682787,-0.9598713209154963,-0.0014731317131826732
meanVoltage,,,,,,,,,,,,,,,
voltageRange,,,,,,,,,,,,,,,
meanGradient,-0.13587365575446994,-0.14459362425483796,-0.14494571641284165,0.11288673583736421,,,1.0,-0.13914477914381962,0.18985244180744013,-0.1449457164128416,0.023094561673714337,0.021064888957848756,-0.13635569774672365,-0.1451938198520562,0.03824708652715486
maxGradient,0.8505224345975787,0.9370356777053901,0.9806260525186384,-0.9136578875262085,,,-0.13914477914381962,1.0,-0.9667236709232933,0.9806260525186384,-0.06388678542140094,-0.21835891999160986,0.8465798282581795,0.981121305300902,0.05181195499032427
minGradient,-0.8566893283754221,-0.9321246536251491,-0.967115869599424,0.9111083365374556,,,0.18985244180744013,-0.9667236709232933,1.0,-0.967115869599424,0.07480556048506526,0.18601483612558758,-0.8518182570980612,-0.9672138292296381,-0.04155148936876847
peakCurrent,0.9186766853638428,0.9813633801510653,1.0,-0.9607548795522695,,,-0.1449457164128416,0.9806260525186384,-0.967115869599424,1.0,-0.061989165885629874,-0.14749597754342048,0.9154354135464279,0.9999878011500921,0.03367242284467662
peakPotential,0.013177051226546296,-0.03281615274561325,-0.061989165885629874,0.052273774729073325,,,0.023094561673714337,-0.06388678542140094,0.07480556048506526,-0.061989165885629874,1.0,0.3458605279834939,0.011202311329353848,-0.06277647802550175,-0.15430073321098117
peakWidth,0.12178869183745956,-0.02302924824294854,-0.14749597754342048,0.004910635600503552,,,0.021064888957848756,-0.21835891999160986,0.18601483612558758,-0.14749597754342048,0.3458605279834939,1.0,0.12721397981046698,-0.1503437244656676,-0.23801122278915726
peakArea,0.9993554964501701,0.975268183272378,0.9154354135464279,-0.9655893028682787,,,-0.13635569774672365,0.8465798282581795,-0.8518182570980612,0.9154354135464279,0.011202311329353848,0.12721397981046698,1.0,0.913759811574956,-0.03326719830353113
peakProminence,0.9169721993717608,0.9805639844759005,0.9999878011500921,-0.9598713209154963,,,-0.1451938198520562,0.981121305300902,-0.9672138292296381,0.9999878011500921,-0.06277647802550175,-0.1503437244656676,0.913759811574956,1.0,0.03443314170085418
peakSymmetry,-0.03302600197037584,0.002921217919426649,0.03367242284467662,-0.0014731317131826732,,,0.03824708652715486,0.05181195499032427,-0.04155148936876847,0.03367242284467662,-0.15430073321098117,-0.23801122278915726,-0.03326719830353113,0.03443314170085418,1.0
