,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
meanCurrent,1.0,0.9572901777956536,0.8881279041261237,-0.7515883360383679,,,-0.2830005376455456,0.8783725259656179,-0.8715202422588882,0.8881279041261237,0.0840237329539011,0.1999863902179069,0.9967768839850792,0.8855928759252013,-0.046352272511941114
stdCurrent,0.9572901777956536,1.0,0.9825133750360723,-0.8911456343766094,,,-0.31725927858355885,0.9685728417995412,-0.9601025023495664,0.9825133750360723,0.011960506991217125,0.006424316390975427,0.9746244916815188,0.9815038032485691,-0.0008262975721477844
maxCurrent,0.8881279041261237,0.9825133750360723,1.0,-0.941579791144822,,,-0.3206217346456537,0.9844479329036463,-0.9756738252884077,1.0,-0.02215679266148155,-0.11362782476040405,0.917041672541227,0.9999833515731058,0.030230661466508667
minCurrent,-0.7515883360383679,-0.8911456343766094,-0.941579791144822,1.0,,,0.31784690325156806,-0.9363976770740458,0.9290804729024249,-0.9415797911448223,0.09278811413772635,0.2048995365704373,-0.7947698624054099,-0.9424760770750772,-0.04404002498241731
meanVoltage,,,,,,,,,,,,,,,
voltageRange,,,,,,,,,,,,,,,
meanGradient,-0.2830005376455456,-0.31725927858355885,-0.3206217346456537,0.31784690325156806,,,1.0,-0.2654258148568565,0.3199960949469753,-0.32062173464565374,0.018320150921245733,0.03592687726866339,-0.29642994481039303,-0.3208147232638131,0.004290152161780342
maxGradient,0.8783725259656179,0.9685728417995412,0.9844479329036463,-0.9363976770740458,,,-0.2654258148568565,1.0,-0.9656619601386883,0.9844479329036463,-0.03192940695414643,-0.10239650277234098,0.9065701562273402,0.9843586049976951,0.023660887383773786
minGradient,-0.8715202422588882,-0.9601025023495664,-0.9756738252884077,0.9290804729024249,,,0.3199960949469753,-0.9656619601386883,1.0,-0.9756738252884077,0.03801920987740038,0.10156412864560332,-0.8983437640011502,-0.9754698666996683,-0.036286424180306656
peakCurrent,0.8881279041261237,0.9825133750360723,1.0,-0.9415797911448223,,,-0.32062173464565374,0.9844479329036463,-0.9756738252884077,1.0,-0.02215679266148155,-0.11362782476040405,0.917041672541227,0.9999833515731058,0.030230661466508667
peakPotential,0.0840237329539011,0.011960506991217125,-0.02215679266148155,0.09278811413772635,,,0.018320150921245733,-0.03192940695414643,0.03801920987740038,-0.02215679266148155,1.0,0.3837684101313815,0.06310853836411749,-0.023746196477335026,-0.12151745317566821
peakWidth,0.1999863902179069,0.006424316390975427,-0.11362782476040405,0.2048995365704373,,,0.03592687726866339,-0.10239650277234098,0.10156412864560332,-0.11362782476040405,0.3837684101313815,1.0,0.15798737939533072,-0.11735891992191173,-0.23603478832146255
peakArea,0.9967768839850792,0.9746244916815188,0.917041672541227,-0.7947698624054099,,,-0.29642994481039303,0.9065701562273402,-0.8983437640011502,0.917041672541227,0.06310853836411749,0.15798737939533072,1.0,0.9148615595354309,-0.037126075486788146
peakProminence,0.8855928759252013,0.9815038032485691,0.9999833515731058,-0.9424760770750772,,,-0.3208147232638131,0.9843586049976951,-0.9754698666996683,0.9999833515731058,-0.023746196477335026,-0.11735891992191173,0.9148615595354309,1.0,0.03102701188056823
peakSymmetry,-0.046352272511941114,-0.0008262975721477844,0.030230661466508667,-0.04404002498241731,,,0.004290152161780342,0.023660887383773786,-0.036286424180306656,0.030230661466508667,-0.12151745317566821,-0.23603478832146255,-0.037126075486788146,0.03102701188056823,1.0
