substance,concentration,pH,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry,split,label
glucose,1.0,6.5,CV,7,0.0901154309608621,0.1462396543024468,0.5301366846589708,-0.062293769873164,0.1,1.4,-2.418911794766321e-05,0.0468268410766881,-0.0389117341382716,0.5301366846589708,0.4829659318637275,0.2356713426853707,0.0955602148977145,0.5103581298293793,0.7142857142857143,train,3
ascorbic_acid,0.1,7.5,CV,7,0.0153781999726788,0.0249556369767627,0.1014657590887372,-0.0076994149089257,0.1,1.4,-1.7399816844513166e-06,0.0074574060092092,-0.0072588792231617,0.1014657590887372,0.0565130260521041,0.1963927855711422,0.0148053798087684,0.096889062464869,0.7073170731707324,train,2
glucose,1.0,6.5,CV,3,0.092377247342102,0.1471835906598634,0.5354817861268466,-0.0565385841905157,0.1,1.4,-0.0001762167569011,0.0507836059008983,-0.0938451457712449,0.5354817861268466,0.4829659318637275,0.2440881763527054,0.0986462661917283,0.513920496933794,0.6730769230769229,train,3
copper,10.0,7.5,CV,4,0.2388464866381613,1.4488597723191678,6.338716076056091,-4.662743476894051,0.1,1.4,-0.0003877295430485,0.5630331206563446,-0.4517589584325518,6.338716076056091,-0.0472945891783567,0.0981963927855711,0.485346783773726,6.315165681273545,0.8421052631578941,train,4
glucose,0.5,8.0,CV,7,0.0497113833117531,0.0773124406621249,0.2962263530858925,-0.0310903140245499,0.1,1.4,-1.1566811906249425e-05,0.0249542723264473,-0.0207217027368914,0.2962263530858925,0.4521042084168337,0.2356713426853707,0.0506343520719444,0.2833554457530772,0.8260869565217396,train,3
aluminum,10.0,6.0,CV,6,0.3229707817111015,1.059614984164015,4.146963123528062,-2.165840882384922,0.1,1.4,-0.0001065194313745,0.5389728307356565,-0.3276344694219527,4.146963123528062,-0.3390781563126252,0.1683366733466934,0.5361430807115293,4.092901858195122,0.8181818181818181,train,5
glucose,0.1,6.5,CV,9,0.0133979217148421,0.0156272265545124,0.062752820320897,-0.0029427019440944,0.1,1.4,-8.605161214942127e-07,0.0061163672164095,-0.0059545324874064,0.062752820320897,0.4857715430861723,0.2132264529058116,0.0096144220749335,0.0565771561549113,0.7272727272727264,train,3
glucose,0.1,7.5,CV,7,0.0133572228396784,0.0157924304502769,0.0637243285168715,-0.0037835626700725,0.1,1.4,-3.223123824138601e-07,0.0054257502376513,-0.0045172311640834,0.0637243285168715,0.4521042084168337,0.230060120240481,0.0102237385098994,0.0576556623303408,0.5769230769230774,train,3
uric_acid,10.0,7.0,CV,8,0.4579911878386242,1.0826083492919705,4.709251725283425,-0.4276505051948168,0.1,1.4,6.4759890770753e-05,0.3406841523251152,-0.3729245618294597,4.709251725283425,0.339879759519038,0.1458917835671341,0.5420486818106228,4.66117251873764,0.6249999999999997,train,1
copper,5.0,6.0,CV,8,0.1501228136683263,0.919549777129289,4.074559249829983,-2.93543747997856,0.1,1.4,4.685982438164987e-05,0.3231784604390694,-0.2456688328709857,4.074559249829983,-0.0613226452905811,0.0925851703406814,0.2977723343732243,4.061885565957381,0.8333333333333318,train,4
aluminum,0.5,6.5,CV,9,0.0300468203100851,0.0931965912675625,0.3729090388607993,-0.191224352240954,0.1,1.4,-4.633463316398042e-05,0.0301179917406617,-0.0439127428032366,0.3729090388607993,-0.3222444889779559,0.1627254509018036,0.0464236665726745,0.3674699924136383,0.8709677419354849,train,5
uric_acid,10.0,7.0,CV,2,0.4588838366583957,1.0849051534229244,4.81248338646944,-0.4060052417863919,0.1,1.4,-5.405224481444687e-05,0.3994646546107494,-0.3638035527693305,4.81248338646944,0.3539078156312625,0.1430861723446893,0.5365533775065581,4.764878005481697,0.9615384615384608,train,1
glucose,2.0,7.5,CV,8,0.1684853928149023,0.2766251130731277,1.0470403037298857,-0.1166447888606641,0.1,1.4,2.017088785242545e-05,0.0792530271065826,-0.0842184433607632,1.0470403037298857,0.4745490981963928,0.2300601202404809,0.178641727073,1.0110319562054553,0.8222222222222219,train,3
glucose,10.0,7.5,CV,6,0.5360431438263829,0.8852248248065993,3.4400502037100207,-0.3222760872380412,0.1,1.4,0.0002667413487694,0.4504890239053559,-0.3005983070857514,3.4400502037100207,0.4829659318637275,0.2160320641282563,0.5454061618784717,3.3234585200127875,0.9249999999999988,train,3
aluminum,2.0,6.5,CV,4,0.1019141553684924,0.330907990343216,1.286729710517894,-0.6792093882661663,0.1,1.4,-0.0002156172504604,0.1085206017923852,-0.118573375018276,1.286729710517894,-0.3278557114228457,0.1767535070140281,0.1758310733733366,1.270743094295119,0.7999999999999996,train,5
aluminum,5.0,7.5,CV,5,0.2110028585714248,0.686971483610167,2.7405329933140723,-1.432113064726293,0.1,1.4,-0.0002201442995744,0.2091551632620839,-0.3992759523978137,2.7405329933140723,-0.3054108216432865,0.1711422845691382,0.3551618993064557,2.708986895496498,0.9677419354838716,train,5
glucose,0.1,7.0,CV,7,0.0132886226497827,0.0157096818175631,0.0617854312969032,-0.0037554059232048,0.1,1.4,-3.07523330703296e-07,0.0053985124783375,-0.0044959186310067,0.0617854312969032,0.4521042084168337,0.2328657314629258,0.0102535083671718,0.0558163403501559,0.4561403508771939,train,3
ascorbic_acid,0.5,6.0,CV,4,0.0622253863865778,0.1184134152996936,0.4737874037132157,-0.046079432541713,0.1,1.4,-3.729767109510396e-05,0.0372208041476948,-0.0462903471160554,0.4737874037132157,0.1070140280561122,0.1935871743486974,0.0699276621955223,0.4618121468356638,0.8157894736842106,train,2
copper,0.5,7.5,CV,9,0.0227011602106446,0.1245121334942914,0.5461404475997499,-0.389814297486585,0.1,1.4,-1.8056523562155e-05,0.0531762204229363,-0.0353411138935222,0.5461404475997499,-0.0416833667334669,0.0981963927855711,0.0421838205155042,0.5425816173113485,0.9444444444444456,train,4
ascorbic_acid,0.5,6.0,CV,0,0.0616223687090631,0.1170566523117841,0.4906313957574338,-0.0565619160003599,0.1,1.4,-1.4121352198950277e-06,0.0389169705420219,-0.0412980307138101,0.4906313957574338,0.0929859719438878,0.1795591182364729,0.0655962991439231,0.4787243894541775,0.8285714285714291,train,2
