substance,concentration,pH,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry,split,label
glucose,1.0,6.5,DVP,7,0.061196289241558,0.1361298901365212,0.5336416117355597,-0.0488675254198795,0.1,1.4,-4.890261166778781e-05,0.0396462766115518,-0.0337414889358231,0.5336416117355597,0.5054108216432865,0.1515030060120241,0.0629119308744011,0.5264498660741742,1.0,train,3
ascorbic_acid,0.1,7.5,DVP,7,0.0105052195782794,0.0225486091264112,0.1005588383161982,-0.0051474959790052,0.1,1.4,-6.359365003387255e-06,0.0064710424790426,-0.0072660290975592,0.1005588383161982,0.0312625250501001,0.1122244488977955,0.0087651302304012,0.0981362445921638,0.818181818181817,train,2
glucose,1.0,6.5,DVP,3,0.0640922697407988,0.1369002138415295,0.5389251747345731,-0.0425944875690708,0.1,1.4,-6.30464444459114e-05,0.0476918179588565,-0.0725960098328429,0.5389251747345731,0.4969939879759518,0.1458917835671342,0.0615309216832482,0.5274071956537004,0.7333333333333317,train,3
copper,10.0,7.5,DVP,4,0.2831500951459638,1.022096615700567,6.268159229858537,-0.3622052774244874,0.1,1.4,-3.724393014285288e-05,0.5651796284685475,-0.5226079975570568,6.268159229858537,-0.0472945891783567,0.0561122244488977,0.2732553939981202,6.2455996821190425,0.8181818181818185,train,4
glucose,0.5,8.0,DVP,7,0.0335734877954056,0.0718920941421904,0.2971487982382516,-0.0247483217623569,0.1,1.4,-2.701057418967913e-05,0.0192004308471473,-0.0178137426294756,0.2971487982382516,0.4521042084168337,0.1402805611222444,0.0316145830506707,0.292331199876063,0.6666666666666684,train,3
aluminum,10.0,6.0,DVP,6,0.330424330648559,0.8841175466458029,4.111258445301016,-0.2963004774485066,0.1,1.4,-0.0006067203886986,0.3185222452100961,-0.2964262870415663,4.111258445301016,-0.3390781563126252,0.0981963927855711,0.3164562438678698,4.06157602455185,0.5909090909090912,train,5
glucose,0.1,6.5,DVP,9,0.0090151925830208,0.0145028118479631,0.0610323116524331,-0.0026726322920996,0.1,1.4,2.3113769554620668e-05,0.0042546624264187,-0.0042842422142964,0.0610323116524331,0.4885771543086171,0.1430861723446894,0.006420001752775,0.0574655413878644,0.5937499999999977,train,3
glucose,0.1,7.5,DVP,7,0.0088653363645488,0.0146213531987716,0.0605942878875567,-0.003249731813686,0.1,1.4,-2.3683912801628347e-06,0.0041769960879197,-0.0037475392499825,0.0605942878875567,0.4773547094188376,0.1402805611222444,0.006409157365656,0.0574883657697546,1.0,train,3
uric_acid,10.0,7.0,DVP,8,0.3313680358510282,0.9539686678826302,4.664488966219408,-0.3238559344145784,0.1,1.4,-0.0001267240008476,0.3530994655417822,-0.2732549863674207,4.664488966219408,0.3454909819639279,0.0869739478957914,0.3221079551452618,4.626802169286378,0.6315789473684225,train,1
copper,5.0,6.0,DVP,8,0.1805945156908777,0.6521263579541349,4.025882269593295,-0.1860683135650528,0.1,1.4,-8.795347526444763e-05,0.3297387914676009,-0.3388022427039202,4.025882269593295,-0.0613226452905811,0.0561122244488978,0.1747595921361315,4.006021625808441,0.8181818181818156,train,4
