substance,concentration,pH,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry,split,label
glucose,1.0,6.5,SWV,7,0.0644417931850298,0.1384805172239244,0.5375551945101528,-0.0474905995779938,0.0999999999999999,1.4,-4.982929495339397e-05,0.0329365910517254,-0.0346146502806746,0.5375551945101528,0.4846057571964955,0.1524405506883603,0.0627164628214638,0.5259639826220819,0.6111111111111127,train,3
ascorbic_acid,0.1,7.5,SWV,7,0.010697753442578,0.0232553315190673,0.1025608641784559,-0.0073618865004545,0.0999999999999999,1.4,-6.47459116323623e-06,0.0056326117447234,-0.0052850789904008,0.1025608641784559,0.0325406758448059,0.1244055068836045,0.0094373362148293,0.0997798693933459,0.918918918918918,train,2
glucose,1.0,6.5,SWV,3,0.0664752781731851,0.1380032642980987,0.5433210035346353,-0.0520990307172737,0.0999999999999999,1.4,-6.145010228236994e-05,0.0373354934200636,-0.0533753433500027,0.5433210035346353,0.481101376720901,0.1454317897371715,0.0606145136348863,0.5306430164586882,0.5370370370370363,train,3
copper,10.0,7.5,SWV,4,0.2158552147672245,0.9457612204251302,5.634694245014526,-0.8535451585183642,0.0999999999999999,1.4,-0.0002186916387706,0.3688816173988118,-0.4143572281623191,5.634694245014526,-0.0375469336670839,0.057822277847309,0.2523027435981281,5.6068681228631005,0.9411764705882382,train,4
glucose,0.5,8.0,SWV,7,0.0350961813719553,0.0729538181756737,0.2785721491280251,-0.0245486134995363,0.0999999999999999,1.4,-2.559586809067684e-05,0.0176040943617097,-0.0172557783152387,0.2785721491280251,0.4530663329161452,0.1682102628285356,0.0354529629073191,0.2715723916154167,0.7142857142857161,train,3
aluminum,10.0,6.0,SWV,6,0.2651672911331969,0.7653900788604722,3.380580206464956,-0.3004072065222227,0.0999999999999999,1.4,2.663416509116872e-05,0.2473673064088933,-0.2371971048561095,3.380580206464956,-0.3196495619524405,0.1086357947434292,0.290212090805348,3.3548865553819054,0.8787878787878782,train,5
glucose,0.1,6.5,SWV,9,0.0090452822926867,0.014601171546877,0.0577324081599855,-0.003222319367172,0.0999999999999999,1.4,7.374336793491337e-07,0.0040188753989585,-0.0036099079649166,0.0577324081599855,0.4723404255319147,0.1524405506883603,0.0066029348789133,0.0543573577134192,0.3809523809523795,train,3
glucose,0.1,7.5,SWV,7,0.0089437064345172,0.0148451898000718,0.0592141264688698,-0.0039655347641712,0.0999999999999999,1.4,-3.3671697619746813e-06,0.0036989038087234,-0.0036519656535681,0.0592141264688698,0.4846057571964955,0.1541927409261578,0.0068064957173529,0.0560603161372559,0.9130434782608686,train,3
uric_acid,10.0,7.0,SWV,8,0.337137364827551,0.988164320514375,4.499962479500957,-0.3765735464682976,0.0999999999999999,1.4,0.0003447858518263,0.2881181989237327,-0.2747307664636177,4.499962479500957,0.3549436795994992,0.0981226533166457,0.3548770781014321,4.454899828842359,1.0,train,1
copper,5.0,6.0,SWV,8,0.1371142331836588,0.5934993224956902,3.288119867274688,-0.5350304928797662,0.0999999999999999,1.4,0.0001944213508653,0.2194809807500395,-0.22848022826229,3.288119867274688,-0.0568210262828535,0.0630788485607009,0.1659658654483544,3.2674251063986635,0.8000000000000006,train,4
