sample_id,method,mixture_size,combination_id,combination,pH,seed,dopamine_concentration,uric_acid_concentration,ascorbic_acid_concentration,glucose_concentration,copper_concentration,aluminum_concentration
1,CV,1,0,dopamine,6.0,43,1.0,0.0,0.0,0.0,0.0,0.0
2,CV,1,0,dopamine,7.5,44,2.0,0.0,0.0,0.0,0.0,0.0
3,CV,1,0,dopamine,7.5,45,5.0,0.0,0.0,0.0,0.0,0.0
4,CV,1,0,dopamine,7.0,46,1.0,0.0,0.0,0.0,0.0,0.0
5,CV,1,0,dopamine,7.0,47,0.1,0.0,0.0,0.0,0.0,0.0
6,CV,1,0,dopamine,8.0,48,0.1,0.0,0.0,0.0,0.0,0.0
7,CV,1,0,dopamine,6.0,49,0.1,0.0,0.0,0.0,0.0,0.0
8,CV,1,0,dopamine,7.5,50,2.0,0.0,0.0,0.0,0.0,0.0
9,CV,1,0,dopamine,6.5,51,0.5,0.0,0.0,0.0,0.0,0.0
10,CV,1,0,dopamine,6.0,52,5.0,0.0,0.0,0.0,0.0,0.0
11,CV,1,0,dopamine,7.0,53,2.0,0.0,0.0,0.0,0.0,0.0
12,CV,1,0,dopamine,8.0,54,0.2,0.0,0.0,0.0,0.0,0.0
13,CV,1,0,dopamine,7.5,55,5.0,0.0,0.0,0.0,0.0,0.0
14,CV,1,0,dopamine,7.5,56,0.5,0.0,0.0,0.0,0.0,0.0
15,CV,1,0,dopamine,7.5,57,0.1,0.0,0.0,0.0,0.0,0.0
16,CV,1,0,dopamine,7.5,58,1.0,0.0,0.0,0.0,0.0,0.0
17,CV,1,0,dopamine,7.0,59,2.0,0.0,0.0,0.0,0.0,0.0
18,CV,1,0,dopamine,6.0,60,0.2,0.0,0.0,0.0,0.0,0.0
19,CV,1,0,dopamine,8.0,61,0.5,0.0,0.0,0.0,0.0,0.0
20,CV,1,0,dopamine,7.0,62,0.5,0.0,0.0,0.0,0.0,0.0
21,CV,1,1,uric_acid,7.0,63,0.0,0.5,0.0,0.0,0.0,0.0
22,CV,1,1,uric_acid,6.5,64,0.0,1.0,0.0,0.0,0.0,0.0
23,CV,1,1,uric_acid,6.0,65,0.0,0.2,0.0,0.0,0.0,0.0
24,CV,1,1,uric_acid,8.0,66,0.0,5.0,0.0,0.0,0.0,0.0
25,CV,1,1,uric_acid,7.5,67,0.0,2.0,0.0,0.0,0.0,0.0
26,CV,1,1,uric_acid,7.5,68,0.0,0.5,0.0,0.0,0.0,0.0
27,CV,1,1,uric_acid,7.0,69,0.0,0.1,0.0,0.0,0.0,0.0
28,CV,1,1,uric_acid,8.0,70,0.0,1.0,0.0,0.0,0.0,0.0
29,CV,1,1,uric_acid,7.0,71,0.0,5.0,0.0,0.0,0.0,0.0
30,CV,1,1,uric_acid,7.0,72,0.0,5.0,0.0,0.0,0.0,0.0
31,CV,1,1,uric_acid,7.0,73,0.0,2.0,0.0,0.0,0.0,0.0
32,CV,1,1,uric_acid,6.5,74,0.0,0.2,0.0,0.0,0.0,0.0
33,CV,1,1,uric_acid,6.0,75,0.0,1.0,0.0,0.0,0.0,0.0
34,CV,1,1,uric_acid,7.0,76,0.0,1.0,0.0,0.0,0.0,0.0
35,CV,1,1,uric_acid,8.0,77,0.0,0.1,0.0,0.0,0.0,0.0
36,CV,1,1,uric_acid,6.0,78,0.0,2.0,0.0,0.0,0.0,0.0
37,CV,1,1,uric_acid,8.0,79,0.0,0.1,0.0,0.0,0.0,0.0
38,CV,1,1,uric_acid,8.0,80,0.0,5.0,0.0,0.0,0.0,0.0
39,CV,1,1,uric_acid,6.5,81,0.0,0.1,0.0,0.0,0.0,0.0
40,CV,1,1,uric_acid,7.5,82,0.0,2.0,0.0,0.0,0.0,0.0
41,CV,1,2,ascorbic_acid,6.0,83,0.0,0.0,2.0,0.0,0.0,0.0
42,CV,1,2,ascorbic_acid,7.5,84,0.0,0.0,1.0,0.0,0.0,0.0
43,CV,1,2,ascorbic_acid,7.5,85,0.0,0.0,2.0,0.0,0.0,0.0
44,CV,1,2,ascorbic_acid,6.5,86,0.0,0.0,5.0,0.0,0.0,0.0
45,CV,1,2,ascorbic_acid,6.0,87,0.0,0.0,1.0,0.0,0.0,0.0
46,CV,1,2,ascorbic_acid,8.0,88,0.0,0.0,1.0,0.0,0.0,0.0
47,CV,1,2,ascorbic_acid,7.0,89,0.0,0.0,5.0,0.0,0.0,0.0
48,CV,1,2,ascorbic_acid,8.0,90,0.0,0.0,1.0,0.0,0.0,0.0
