sample_id,method,mixture_size,combination_id,combination,pH,seed,dopamine_concentration,uric_acid_concentration,ascorbic_acid_concentration,glucose_concentration,copper_concentration,aluminum_concentration
1,DPV,1,0,dopamine,6.5,1000043,1.0,0.0,0.0,0.0,0.0,0.0
2,DPV,1,0,dopamine,8.0,1000044,5.0,0.0,0.0,0.0,0.0,0.0
3,DPV,1,0,dopamine,7.0,1000045,0.5,0.0,0.0,0.0,0.0,0.0
4,DPV,1,0,dopamine,8.0,1000046,0.5,0.0,0.0,0.0,0.0,0.0
5,DPV,1,0,dopamine,6.5,1000047,0.1,0.0,0.0,0.0,0.0,0.0
6,DPV,1,0,dopamine,6.0,1000048,2.0,0.0,0.0,0.0,0.0,0.0
7,DPV,1,0,dopamine,6.0,1000049,1.0,0.0,0.0,0.0,0.0,0.0
8,DPV,1,0,dopamine,6.5,1000050,0.1,0.0,0.0,0.0,0.0,0.0
9,DPV,1,0,dopamine,8.0,1000051,0.5,0.0,0.0,0.0,0.0,0.0
10,DPV,1,0,dopamine,6.0,1000052,0.5,0.0,0.0,0.0,0.0,0.0
11,DPV,1,0,dopamine,6.5,1000053,0.5,0.0,0.0,0.0,0.0,0.0
12,DPV,1,0,dopamine,6.0,1000054,1.0,0.0,0.0,0.0,0.0,0.0
13,DPV,1,0,dopamine,8.0,1000055,5.0,0.0,0.0,0.0,0.0,0.0
14,DPV,1,0,dopamine,7.5,1000056,1.0,0.0,0.0,0.0,0.0,0.0
15,DPV,1,0,dopamine,7.5,1000057,0.2,0.0,0.0,0.0,0.0,0.0
16,DPV,1,0,dopamine,7.5,1000058,0.1,0.0,0.0,0.0,0.0,0.0
17,DPV,1,0,dopamine,7.5,1000059,0.5,0.0,0.0,0.0,0.0,0.0
18,DPV,1,0,dopamine,7.5,1000060,1.0,0.0,0.0,0.0,0.0,0.0
19,DPV,1,0,dopamine,6.0,1000061,5.0,0.0,0.0,0.0,0.0,0.0
20,DPV,1,0,dopamine,8.0,1000062,2.0,0.0,0.0,0.0,0.0,0.0
21,DPV,1,1,uric_acid,7.5,1000063,0.0,1.0,0.0,0.0,0.0,0.0
22,DPV,1,1,uric_acid,7.5,1000064,0.0,1.0,0.0,0.0,0.0,0.0
23,DPV,1,1,uric_acid,6.5,1000065,0.0,0.2,0.0,0.0,0.0,0.0
24,DPV,1,1,uric_acid,8.0,1000066,0.0,0.5,0.0,0.0,0.0,0.0
25,DPV,1,1,uric_acid,6.5,1000067,0.0,0.2,0.0,0.0,0.0,0.0
26,DPV,1,1,uric_acid,6.0,1000068,0.0,0.5,0.0,0.0,0.0,0.0
27,DPV,1,1,uric_acid,8.0,1000069,0.0,0.5,0.0,0.0,0.0,0.0
28,DPV,1,1,uric_acid,6.5,1000070,0.0,2.0,0.0,0.0,0.0,0.0
29,DPV,1,1,uric_acid,6.0,1000071,0.0,0.1,0.0,0.0,0.0,0.0
30,DPV,1,1,uric_acid,7.5,1000072,0.0,2.0,0.0,0.0,0.0,0.0
31,DPV,1,1,uric_acid,6.5,1000073,0.0,2.0,0.0,0.0,0.0,0.0
32,DPV,1,1,uric_acid,8.0,1000074,0.0,5.0,0.0,0.0,0.0,0.0
33,DPV,1,1,uric_acid,7.0,1000075,0.0,5.0,0.0,0.0,0.0,0.0
34,DPV,1,1,uric_acid,6.0,1000076,0.0,5.0,0.0,0.0,0.0,0.0
