sample_id,method,mixture_size,combination_id,combination,pH,seed,dopamine_concentration,uric_acid_concentration,ascorbic_acid_concentration,glucose_concentration,copper_concentration,aluminum_concentration
1,SWV,1,0,dopamine,7.0,2000043,0.1,0.0,0.0,0.0,0.0,0.0
2,SWV,1,0,dopamine,6.0,2000044,5.0,0.0,0.0,0.0,0.0,0.0
3,SWV,1,0,dopamine,6.5,2000045,0.2,0.0,0.0,0.0,0.0,0.0
4,SWV,1,0,dopamine,7.0,2000046,0.5,0.0,0.0,0.0,0.0,0.0
5,SWV,1,0,dopamine,6.0,2000047,0.5,0.0,0.0,0.0,0.0,0.0
6,SWV,1,0,dopamine,6.5,2000048,5.0,0.0,0.0,0.0,0.0,0.0
7,SWV,1,0,dopamine,7.0,2000049,0.1,0.0,0.0,0.0,0.0,0.0
8,SWV,1,0,dopamine,8.0,2000050,1.0,0.0,0.0,0.0,0.0,0.0
9,SWV,1,0,dopamine,6.0,2000051,1.0,0.0,0.0,0.0,0.0,0.0
10,SWV,1,0,dopamine,7.0,2000052,0.1,0.0,0.0,0.0,0.0,0.0
11,SWV,1,0,dopamine,8.0,2000053,5.0,0.0,0.0,0.0,0.0,0.0
12,SWV,1,0,dopamine,8.0,2000054,0.2,0.0,0.0,0.0,0.0,0.0
13,SWV,1,0,dopamine,8.0,2000055,0.5,0.0,0.0,0.0,0.0,0.0
14,SWV,1,0,dopamine,6.0,2000056,2.0,0.0,0.0,0.0,0.0,0.0
15,SWV,1,0,dopamine,8.0,2000057,2.0,0.0,0.0,0.0,0.0,0.0
16,SWV,1,0,dopamine,8.0,2000058,0.1,0.0,0.0,0.0,0.0,0.0
17,SWV,1,0,dopamine,6.5,2000059,0.5,0.0,0.0,0.0,0.0,0.0
18,SWV,1,0,dopamine,7.0,2000060,0.1,0.0,0.0,0.0,0.0,0.0
19,SWV,1,0,dopamine,7.0,2000061,5.0,0.0,0.0,0.0,0.0,0.0
