substance,concentration,ph,method,seed,meanCurrent,stdCurrent,maxCurrent,minCurrent,meanVoltage,voltageRange,meanGradient,maxGradient,minGradient,peakCurrent,peakPotential,peakWidth,peakArea,peakProminence,peakSymmetry
dopamine,0.1,6.0,CV,0,0.007898990457945062,0.021724691567250865,0.10016113321116576,-0.05246829722181187,0.10000000000000003,1.4,2.1396568299720038e-06,0.006315283637015011,-0.007394209962143204,0.10016113321116576,0.25290581162324655,0.11222444889779559,0.008661319520099298,0.0967214145412381,0.8181818181818203
dopamine,0.1,6.0,CV,1,0.007883489292637672,0.021675679047874707,0.10295596106352702,-0.05274098530841208,0.10000000000000003,1.4,4.059247034672381e-06,0.006706570777800526,-0.007093541561139938,0.10295596106352702,0.2585170340681363,0.10941883767535077,0.008526919390940838,0.09941428413858458,0.9499999999999992
dopamine,0.1,6.0,CV,2,0.0079627866264741,0.02179340236577307,0.10333277159981082,-0.05316514186074782,0.10000000000000003,1.4,1.7701654861046668e-06,0.0062653601063000705,-0.007354246244023099,0.10333277159981082,0.25290581162324655,0.10661322645290583,0.008437799456484802,0.0999239629727155,0.8095238095238101
dopamine,0.1,6.0,CV,3,0.008114408553443005,0.02173911790685635,0.10097444643841635,-0.049216066683092224,0.10000000000000003,1.4,-1.9024537090089904e-05,0.007758511628372891,-0.011424059242460753,0.10097444643841635,0.26132264529058113,0.11222444889779559,0.008615908823903708,0.09728732480891106,0.8181818181818203
dopamine,0.1,6.0,CV,4,0.007994202978794732,0.021778434467095136,0.10270811194064265,-0.05214690476176923,0.10000000000000003,1.4,-3.526433004743243e-06,0.006218562142779129,-0.007927468450257463,0.10270811194064265,0.25290581162324655,0.10941883767535077,0.008569647874853745,0.09928686555597326,0.8571428571428585
dopamine,0.1,6.0,CV,5,0.0080232302588586,0.021601364769134178,0.1020438312982,-0.04877644348320139,0.10000000000000003,1.4,1.1099002613943927e-06,0.006523937234314582,-0.007239833295942438,0.1020438312982,0.2669338677354709,0.11503006012024042,0.008788799702257823,0.09851036747282571,0.7083333333333346
dopamine,0.1,6.0,CV,6,0.007987461110320155,0.021694833254143103,0.10362692329255568,-0.051073620700344005,0.10000000000000003,1.4,8.143942650884913e-06,0.009100769243057345,-0.008092781512383003,0.10362692329255568,0.25290581162324655,0.10941883767535077,0.008526293204302746,0.10012604194379672,0.8571428571428585
dopamine,0.1,6.0,CV,7,0.007838600633037797,0.02185583005916886,0.10359775130154497,-0.0513035531778718,0.10000000000000003,1.4,-4.861502910284872e-07,0.00703597854084273,-0.007501802012243947,0.10359775130154497,0.25571142284569137,0.11222444889779559,0.00875879239506587,0.10047751608012404,0.904761904761905
dopamine,0.1,6.0,CV,8,0.00794653048389493,0.021679246619878748,0.10151474796181283,-0.05204969822840061,0.10000000000000003,1.4,3.933868583480497e-06,0.006617690969577809,-0.009587099071629655,0.10151474796181283,0.25571142284569137,0.11222444889779559,0.008598510696852156,0.09796132165347328,0.999999999999998
dopamine,0.1,6.0,CV,9,0.008032529156461049,0.02179068285463219,0.10146794077028923,-0.04950284555016729,0.10000000000000003,1.4,-1.0889881585469594e-06,0.007747199295209426,-0.008001262506400241,0.10146794077028923,0.2585170340681363,0.10941883767535077,0.00857453636262807,0.09796194359828687,0.9499999999999992
dopamine,0.1,6.5,CV,0,0.007962600335313276,0.02195638441631889,0.10227948362820866,-0.05238736252265335,0.10000000000000003,1.4,2.1312685594345154e-06,0.007927473648005478,-0.007756609013513464,0.10227948362820866,0.22765531062124245,0.11222444889779559,0.00875183171537569,0.09887478695233293,0.904761904761905
dopamine,0.1,6.5,CV,1,0.007946903919445615,0.021982551209759962,0.10390152912230105,-0.05220813569829966,0.10000000000000003,1.4,4.075037660077543e-06,0.007345918922735024,-0.006907896285268142,0.10390152912230105,0.23607214428857715,0.11503006012024042,0.008928412209833475,0.10036600254283645,0.7826086956521736
dopamine,0.1,6.5,CV,2,0.00802720007166456,0.02202967209001936,0.10456998788841743,-0.05082109250776693,0.10000000000000003,1.4,1.7571231530838384e-06,0.006369999365844231,-0.008613382670017869,0.10456998788841743,0.21643286573146292,0.10661322645290583,0.008536482400753862,0.10112363023429596,0.583333333333333
dopamine,0.1,6.5,CV,3,0.008180731807709294,0.022024091513972305,0.10534425638388367,-0.05289225450358031,0.10000000000000003,1.4,-1.9299506655556854e-05,0.0072591971847111025,-0.011568234891709602,0.10534425638388367,0.22484969939879762,0.11222444889779559,0.00878775437714146,0.10173914952218212,0.8181818181818203
dopamine,0.1,6.5,CV,4,0.00805901214006657,0.022111434025834206,0.10585483914252536,-0.0568688052163487,0.10000000000000003,1.4,-3.6061905686745626e-06,0.006676231527213972,-0.007448485777878513,0.10585483914252536,0.21923847695390786,0.10661322645290583,0.008565895785635593,0.10244054212010265,0.6521739130434792
dopamine,0.1,6.5,CV,5,0.008088405043784096,0.021925897163754114,0.10256634461733999,-0.05146356112384631,0.10000000000000003,1.4,1.0885413178159084e-06,0.0058837126269559135,-0.007901163589763428,0.10256634461733999,0.23046092184368738,0.10941883767535077,0.008613727681793675,0.0990243121766106,0.9499999999999992
dopamine,0.1,6.5,CV,6,0.00805218535193784,0.021972221220807643,0.10251021963373742,-0.0527248343352831,0.10000000000000003,1.4,8.211183544175289e-06,0.009215539692524945,-0.006926270701401848,0.10251021963373742,0.23326653306613232,0.10941883767535066,0.008627341954198639,0.09901685162337598,0.9499999999999972
dopamine,0.1,6.5,CV,7,0.007901449848422608,0.02214061678438282,0.10245841806578637,-0.050640816621084335,0.10000000000000003,1.4,-5.276128692951092e-07,0.006904127658476648,-0.00901985954863062,0.10245841806578637,0.22204408817635268,0.10941883767535066,0.008728135354395672,0.09935228540994413,0.6956521739130435
